Incident energy;
Incident energy;
Incident energy;?(E)
4.331407;0.005315422
4.335514;0.004797923
4.339622;0.004345191
4.343729;0.003951669
4.347837;0.003610974
4.351944;0.003317037
4.356052;0.003063705
4.360159;0.002845509
4.364267;0.002657269
4.368374;0.002494583
4.376588;0.002230623
4.382339;0.002083882
4.388089;0.001961036
4.39959;0.001768353
4.411091;0.001625247
4.422591;0.001515446
4.434092;0.001428988
4.445593;0.001359587
4.468594;0.001256715
4.491596;0.001186829
4.514597;0.001139655
4.537599;0.001109363
4.5606;0.001092589
4.59565;0.001090324
4.614271;0.001101339
4.632891;0.001122564
4.651512;0.001156494
4.670132;0.001207353
4.688753;0.001282732
4.698063;0.001333698
4.707373;0.001397126
4.716683;0.001477308
4.725993;0.001580678
4.735303;0.001717007
4.739958;0.001801907
4.744613;0.001901109
4.752281;0.002103865
4.756115;0.002228005
4.759948;0.002370564
4.763782;0.002534437
4.767615;0.002722616
4.771449;0.002938488
4.775282;0.003185357
4.779116;0.003466781
4.782949;0.003785912
4.786783;0.004145891
4.790616;0.004548962
4.79445;0.004996974
4.798283;0.005490274
4.80595;0.006608664
4.836619;0.01187791
4.842715;0.01272954
4.84881;0.01338169
4.854905;0.01378833
4.861;0.01391982
4.866;0.01381501
4.871;0.01352407
4.876;0.01306203
4.881;0.01245184
4.891227;0.0108676
4.901454;0.009065521
4.911681;0.007302543
4.916794;0.00649572
4.921907;0.005758511
4.926323;0.005183742
4.930739;0.004668341
4.935155;0.004211701
4.939571;0.003811385
4.943987;0.003463638
4.948403;0.003163872
4.952819;0.002907069
4.957235;0.002688117
4.961651;0.002502056
4.966067;0.00234425
4.970483;0.002210494
4.974899;0.002097063
4.979315;0.002000723
4.983731;0.001918711
4.992563;0.001788734
5.0;0.001706133
5.008893;0.00163071
5.017785;0.001574087
5.026677;0.001531432
5.035569;0.001499442
5.053354;0.001458874
5.071138;0.001440609
5.094851;0.001440279
5.118563;0.001460328
5.151168;0.001514262
5.183773;0.001595217
5.216378;0.001703043
5.248982;0.001840469
5.281587;0.002012872
5.314191;0.002228643
5.346796;0.002500255
5.3794;0.002846091
5.403113;0.003159495
5.426825;0.003541528
