incident energy,cross_section
15.14229,33.59593
15.14719,36.86211
15.1521,40.62798
15.157,44.95657
15.16222,50.29361
15.16743,56.48262
15.17265,63.67757
15.17786,71.99208
15.18308,81.60935
15.18829,92.65074
15.1935,105.2954
15.19871,119.705
15.20393,136.0689
15.20914,154.469
15.21435,175.0598
15.21956,197.9397
15.22478,223.2221
15.22999,250.8292
15.2352,280.7738
15.24041,312.9627
15.24593,349.3368
15.25145,387.7732
15.26249,469.2596
15.27353,553.379
15.28457,634.8542
15.28703,652.0474
15.29378,696.4587
15.30052,735.6721
15.314,793.7213
15.322,812.7014
15.33,818.8619
15.336,814.8585
15.34782,785.9881
15.35964,732.2535
15.37555,630.8867
15.39145,512.4117
15.40509,410.2254
15.41872,316.6596
15.42554,274.8231
15.43236,236.8362
15.43918,202.856
15.44599,172.919
15.45224,148.8425
15.45849,127.8375
15.46474,109.6772
15.47099,94.10336
15.47724,80.84293
15.48349,69.62108
15.48974,60.1716
15.49599,52.24446
15.50224,45.61077
15.50849,40.06555
15.51474,35.42876
15.52099,31.54488
15.52724,28.28159
15.53349,25.52775
15.53974,23.19107
15.54598,21.19863
15.55223,19.48225
15.55848,17.99519
15.57098,15.55521
15.58348,13.64134
15.59598,12.10016
15.60848,10.83144
15.62098,9.768208
15.63348,8.864372
15.64597,8.087713
15.65847,7.41292
15.67097,6.822475
15.69597,5.841292
15.72097,5.062861
15.74596,4.434091
15.76869,3.960843
15.79141,3.561129
15.81414,3.219793
15.83686,2.925921
15.85959,2.670682
15.88231,2.447687
15.90504,2.251547
15.92776,2.07828
15.97321,1.787102
16.01866,1.553529
16.06411,1.363266
16.10955,1.206258
16.15273,1.081246
16.19591,0.9751479
16.23909,0.884279
16.28226,0.8055906
16.32544,0.7368101
16.36862,0.6764239
16.45497,0.5761162
16.54133,0.4968093
16.62768,0.4330419
16.71403,0.380998
16.80038,0.337971
16.88219,0.3037346
16.964,0.274578
17.04581,0.2496242
17.12762,0.2282571
17.20943,0.2094619
17.29124,0.1928768
17.45485,0.1653254
17.61847,0.1435349
17.78209,0.1260086
17.94571,0.1117054
18.10932,0.09988407
18.34566,0.08612642
18.58199,0.07528643
18.81833,0.06662874
19.05466,0.05965804
19.291,0.05382802
19.52733,0.04893872
19.76367,0.04481308
20,0.04133416
20.35363,0.03705658
20.70725,0.03360577
21.06088,0.03078447
21.4145,0.02845084
21.76813,0.02650476
22.12175,0.0248727
22.82899,0.02234303
23.53624,0.02060351
24.24348,0.01929501
24.95073,0.01840242
25.65797,0.01787145
26.46625,0.0176864
27.27454,0.01798375
27.67868,0.01835844
28.08282,0.01893824
28.56212,0.01997751
29.04141,0.02156041
29.28106,0.02260097
29.52071,0.02396821
29.76036,0.02557699
30,0.02764768
30.22911,0.0302002
30.45821,0.03353234
30.68731,0.03795238
30.80186,0.04072504
30.91641,0.04398183
31.09969,0.05045341
31.21425,0.05557486
31.3288,0.06188778
31.44335,0.06972271
31.5579,0.07960172
31.64954,0.08948946
31.74118,0.1017538
31.83282,0.1171889
31.87864,0.1264296
31.92446,0.1369455
31.97028,0.1490142
32.0161,0.1629839
32.07052,0.1826377
32.12493,0.2064955
32.17934,0.2358432
32.23375,0.2725094
32.28816,0.3191645
32.31537,0.3474384
32.34257,0.3798888
32.36978,0.41745
32.39698,0.4612784
32.42419,0.5129684
32.45139,0.5745784
32.48146,0.6577704
32.51153,0.7623867
32.52657,0.8253847
32.5416,0.8975002
32.55664,0.9810327
32.57167,1.078922
32.58671,1.195645
32.60174,1.337366
32.61678,1.513618
32.63181,1.738033
32.63933,1.874519
32.64685,2.031463
32.65437,2.212943
32.66188,2.423544
32.6694,2.669642
32.67692,2.957855
32.68444,3.296246
32.69195,3.693605
32.69983,4.186123
32.7077,4.769156
32.71558,5.460108
32.72345,6.274899
32.73133,7.234959
32.7392,8.358597
32.74708,9.670502
32.75495,11.18968
32.76283,12.94224
32.7707,14.94499
32.77858,17.22235
32.78645,19.78482
32.79433,22.65092
32.8022,25.81987
32.81008,29.29939
32.81795,33.07233
32.83371,41.44305
32.84946,50.66082
32.88096,69.80367
32.89814,79.20987
32.91532,86.75017
32.92678,90.34614
32.93839,92.60119
32.95,93.34402
32.96532,91.9563
32.97839,88.73438
32.99146,83.85216
33.01028,74.53637
33.0291,63.54017
33.06674,41.01568
33.07615,35.93702
33.08556,31.23075
33.09497,26.93621
33.10438,23.07362
33.11294,19.93827
33.12149,17.15881
33.13005,14.7135
33.1386,12.58703
33.14716,10.74944
33.15571,9.177662
33.16426,7.841128
33.17281,6.711751
33.18137,5.76151
33.18992,4.967325
33.19848,4.304157
33.20703,3.752807
33.21559,3.293682
33.22414,2.912016
33.23269,2.5937
33.24124,2.327327
33.24894,2.123985
33.25664,1.949249
33.26434,1.798286
33.27204,1.667084
33.28744,1.451313
33.30283,1.282042
33.31823,1.145663
33.33363,1.033338
33.34903,0.9390188
33.36442,0.8586026
33.37982,0.7890678
33.39522,0.7283601
33.42601,0.6275431
33.45681,0.5473581
33.4876,0.4823503
33.52866,0.4130067
33.56972,0.3582523
33.59709,0.3278824
33.62446,0.3014123
33.66552,0.2676143
33.70658,0.2394539
33.74764,0.2157144
33.7887,0.1955065
33.82976,0.178164
33.87082,0.1631726
33.91188,0.1501267
33.95294,0.1387034
34.00769,0.1255574
